mission_dount_11,포장 상자도 접어놓아요,Let's fold the packaging boxes too,我们也来折叠包装盒,也摺好包裝盒吧,梱包箱も折りましょう,Falten wir auch die Verpackungen,,,,,,,,,,,,,
mission_dount_12,카운터도 정리할까요?,Shall we organize the counter too?,我们也要整理一下柜台吗？,櫃檯也整理一下？,カウンターも整理しましょうか？,Organisieren wir den Thresen,,,,,,,,,,,,,
mission_dount_13,화분을 설치해봐요,Let's install a flowerpot,让我们安装一个花盆,擺放盆栽吧,植木鉢を設置しましょう,Lass uns einen Blumentopf platzieren,,,,,,,,,,,,,
mission_dount_14,장식 간판도 넣어봐요,Let's add a decorative sign,让我们添加一个装饰标志,裝飾招牌也放進去吧,装飾的な看板を追加しましょう,Lass uns ein Dekoschild hinzufügen,,,,,,,,,,,,,
mission_dount_15,도넛 장식도 설치해요,We also need donut decorations,我们还需要甜甜圈装饰,甜甜圈裝飾也裝設吧,ドーナツのデコレーションも必要です,Wir brauchen auch Donutdekorationen,,,,,,,,,,,,,
mission_dount_16,가게 간판을 설치해요,Install the shop sign,安装店铺招牌,裝設店鋪招牌,店舗看板を設置する,Platziere das Ladenschild,,,,,,,,,,,,,
mission_mini_01,새 가게를 오픈해요,Open a new store,开设新店,新店鋪開幕囉,新しい店舗をオープンする,Eröffne einen neuen Laden,,,,,,,,,,,,,
mission_mini_02,선반을 설치 해요,Install the shelf,安装搁板,裝設層架吧,棚を取り付ける,Platziere das Regal,,,,,,,,,,,,,
mission_mini_03,테이블을 배치해요,Place the tables,摆放桌子,擺放桌子吧,テーブルを配置する,Platziere die Tische,,,,,,,,,,,,,
mission_mini_04,의자도 둘까요,Shall we add chairs too?,我们也要添加椅子吗？,椅子也放幾張？,椅子も追加しましょうか？,Fügen wir Stühle hinzu,,,,,,,,,,,,,
mission_mini_05,조명을 설치해요,Install the lights,安装灯,裝設照明吧,ライトを設置する,Installiere die Lichter,,,,,,,,,,,,,
mission_mini_06,벽을 높여볼까요?,Shall we raise the walls?,我们要把墙建起来吗？,牆面加高看看？,壁を上げましょうか？,Ziehen wir die Wände,,,,,,,,,,,,,
mission_mini_07,창문을 달아봐요,Let's install a window,让我们安装一个窗口,安裝窗戶吧,窓を設置しましょう,Lass uns die Fenster installieren,,,,,,,,,,,,,
mission_mini_08,메뉴를 준비해요,Prepare the menu,准备菜单,準備菜單,メニューを準備する,Bereite die Speisekarte vor,,,,,,,,,,,,,
mission_mini_09,카트도 하나 둘까요?,Shall we add a cart too?,我们也要加一辆购物车吗？,要放個推車嗎？,カートも追加しましょうか？,Fügen wir einen Einkaufswagen hinzu,,,,,,,,,,,,,
mission_mini_10,접시를 준비해요,Prepare the plates,准备盘子,準備餐盤,皿を準備する,Bereite die Teller vor,,,,,,,,,,,,,
mission_mini_11,수저통을 준비해요,Prepare the cutlery holder,准备餐具架,準備餐具盒,カトラリーホルダーを準備する,Bereite den Besteckhalter vor,,,,,,,,,,,,,
mission_mini_12,와인도 준비 할까요?,Shall we prepare wine too?,我们也准备酒好吗？,要準備葡萄酒嗎？,ワインも用意しましょうか？,Lass uns auch Wein vorbereiten,,,,,,,,,,,,,
mission_mini_13,테이블을 준비해요,Prepare the tables,准备表格,準備餐桌,テーブルを準備する,Bereite die Tische vor,,,,,,,,,,,,,
mission_mini_14,벽 화분을 배치해요,Place the wall planters,放置墙上花盆,擺放壁掛盆栽,壁掛けプランターを設置する,Platzieren wir die Wandpflanzen,,,,,,,,,,,,,
mission_mini_15,가게를 꾸며 볼까요?,Shall we decorate the shop?,我们要装饰一下商店吗？,來裝飾店面吧？,お店を飾り付けてみませんか？,Sollen wir den Laden dekorieren?,,,,,,,,,,,,,
mission_mini_16,화분 선반을 놓아봐요,Let's place a flowerpot shelf,我们放一个花盆架,擺放盆栽架,植木鉢棚を設置しましょう,Platzieren wir ein Blumentopfregal,,,,,,,,,,,,,
mission_mini_17,화분을 놓을까요? ,Shall we place a flowerpot?,我们可以放一个花盆吗？,要放盆栽嗎？,植木鉢を置いてみましょうか？,Sollen wir einen Blumentopf platzieren?,,,,,,,,,,,,,
mission_LuxuryCafe_1,새 가게를 오픈 해요,Open a new store,开设新店,新店開幕囉,新しい店舗をオープンする,Eröffne einen neuen Laden,,,,,,,,,,,,,
mission_LuxuryCafe_2,창문을 달아볼까요,Shall we install a window?,我们要安装窗户吗？,要裝窗戶嗎,窓を付けましょうか？,Sollen wir ein Fenster platzieren?,,,,,,,,,,,,,
mission_LuxuryCafe_3,문도 설치해요,Install the door too,也安装门,也安裝門吧,ドアも取り付けます,Installiere auch die Tür,,,,,,,,,,,,,
mission_LuxuryCafe_4,선반을 설치 해요,Install the shelf,安装搁板,架設層架,棚を取り付ける,Platziere das Regal,,,,,,,,,,,,,
mission_LuxuryCafe_5,카운터를 설치 해요,Install the counter,安装计数器,安裝櫃檯吧,カウンターを設置する,Platziere den Thresen,,,,,,,,,,,,,
mission_LuxuryCafe_6,테이블을 설치 해요,Install the table,安装桌子,擺放餐桌吧,テーブルを設置する,Platziere den Tisch,,,,,,,,,,,,,
mission_LuxuryCafe_7,의자도 둘까요?,Shall we add chairs too?,我们也要添加椅子吗？,椅子也放幾張？,椅子も追加しましょうか？,Sollen wir auch Stühle hinzufügen?,,,,,,,,,,,,,
mission_LuxuryCafe_8,커피 선반을 놓아 봐요,Let's place a coffee shelf,我们放一个咖啡架,試著擺放咖啡架吧,コーヒー棚を設置しましょう,Lass uns ein Kaffeeregal platzieren,,,,,,,,,,,,,
mission_LuxuryCafe_9,커피 머신을 준비해요,Prepare the coffee machine,准备咖啡机,準備咖啡機吧,コーヒーマシンを準備する,Bereite die Kaffeemaschine vor,,,,,,,,,,,,,
mission_LuxuryCafe_10,미니 선반을 설치 해요,Install the mini shelf,安装迷你搁架,安裝迷你層架吧,ミニシェルフを取り付ける,Installiere das Miniregal,,,,,,,,,,,,,
mission_LuxuryCafe_11,포스기를 넣어봐요,Install the cash register,安装收银机,放進收銀機吧,レジを設置する,Installiere die Kasse,,,,,,,,,,,,,
mission_LuxuryCafe_12,정리함도 둘까요,Shall we add a storage box too?,我们也要添加一个储物箱吗？,整理箱也放幾個？,収納ボックスも追加しましょうか？,Sollen wir auch eine Vorratskiste hinzufügen?,,,,,,,,,,,,,
mission_LuxuryCafe_13,커피 컵을 준비해요,Prepare the coffee cups,准备咖啡杯,準備咖啡杯吧,コーヒーカップを用意する,Bereite die Kaffeetassen vor,,,,,,,,,,,,,
mission_LuxuryCafe_14,커피 콩을 준비해요,Prepare the coffee beans,准备咖啡豆,準備咖啡豆吧,コーヒー豆を用意する,Bereite die Kaffeebohnen vor,,,,,,,,,,,,,
mission_LuxuryCafe_15,머그컵도 준비할까요,Shall we prepare mugs too?,我们也准备杯子好吗？,馬克杯也準備嗎？,マグカップも用意しましょうか？,Sollen wir auch Becher vorbereiten,,,,,,,,,,,,,
mission_LuxuryCafe_16,쿠키 선반을 설치해요,Install the cookie shelf,安装饼干架,安裝餅乾架吧,クッキー棚を設置する,Installiere das Keksregal,,,,,,,,,,,,,
mission_LuxuryCafe_17,쿠키를 만들어요,Make the cookies,做饼干,製作餅乾吧,クッキーを作る,Backe die Kekse,,,,,,,,,,,,,
mission_LuxuryCafe_18,스탬프도 구매해요,Purchase stamps too,也购买邮票,也購買印章吧,切手も購入,Kaufe auch Stempel,,,,,,,,,,,,,
mission_LuxuryCafe_19,손님 맞이를 준비해요(1/2),Prepare to welcome customers (1/2),准备迎接顾客（1/2）,準備迎接客人(1/2),お客様をお迎えする準備（1/2）,"Bereite dich vor, Kunden zu begrüßen (1/2)",,,,,,,,,,,,,
mission_LuxuryCafe_20,손님 맞이를 준비해요(2/2),Prepare to welcome customers (2/2),准备迎接顾客（2/2）,準備迎接客人(2/2),お客様をお迎えする準備（2/2）,"Bereite dich vor, Kunden zu begrüßen (2/2)",,,,,,,,,,,,,
mission_LuxuryCafe_21,핸드드립 드리퍼도 준비해요,Let's prepare a hand-drip dripper too,我们也准备一个手冲滴管,準備手沖濾杯,ハンドドリップ用のドリッパーも用意しましょう,Lass uns auch einen Handfilter vorbereiten,,,,,,,,,,,,,
mission_LuxuryCafe_22,병도 몇개만 놓을까요?,Shall we place a few bottles too?,我们也放几瓶好吗？,要擺放幾個瓶子呢？,ボトルも何本か置いておきましょうか？,Sollen wir auch ein paar Flaschen platzieren?,,,,,,,,,,,,,
mission_LuxuryCafe_23,카펫을 설치해요,Install the carpet,安装地毯,鋪設地毯,カーペットを設置する,Platziere den Teppich,,,,,,,,,,,,,
mission_LuxuryCafe_24,간판을 배치해요(1/2),Place the sign (1/2),放置标志（1/2）,設置招牌(1/2),看板を設置する（1/2）,Platziere das Schild (1/2),,,,,,,,,,,,,
mission_LuxuryCafe_25,간판을 배치해요(2/2),Place the sign (2/2),放置标志（2/2）,設置招牌(2/2),看板を設置する（2/2）,Platziere das Schild (2/2),,,,,,,,,,,,,
mission_Ice_1,새 가게를 오픈 해요,Open a new store,开设新店,新店開幕,新しい店舗をオープンする,Eröffne einen neuen Laden,,,,,,,,,,,,,
mission_Ice_2,창문을 달아봐요,Let's install a window,让我们安装一个窗口,安裝窗戶,窓を設置しましょう,Platziere ein Fenster,,,,,,,,,,,,,
mission_Ice_3,선반을 설치해요,Install the shelf,安装搁板,架設層架,棚を取り付ける,Installiere das Regal,,,,,,,,,,,,,
mission_Ice_4,카운터를 설치해요(1/2),Install the counter (1/2),安装计数器（1/2）,設置櫃檯(1/2),カウンターの取り付け（1/2）,Installiere den Thresen (1/2),,,,,,,,,,,,,
mission_Ice_5,아이스크림 보관도 해야죠,We also need to store ice cream.,我们还需要储存冰淇淋。,冰淇淋也需要冷藏保存,アイスクリームも保管する必要があります。,Wir müssen auch das Eis verstauen.,,,,,,,,,,,,,
mission_Ice_6,테이블을 놓아봐요,Let's place the tables,让我们摆放桌子,擺放餐桌吧,テーブルを配置しましょう,Lass uns die Tische platzieren,,,,,,,,,,,,,
mission_Ice_7,의자도 둘까요,Shall we add chairs too?,我们也要添加椅子吗？,椅子也放幾張？,椅子も追加しましょうか？,Sollen wir auch Stühle hinzufügen?,,,,,,,,,,,,,
mission_Ice_8,아이스크림 기계를 설치해요 (1/2),Install the ice cream machine (1/2),安装冰淇淋机（1/2）,安裝冰淇淋機 (1/2),アイスクリームマシンの設置（1/2）,Installiere die Eismaschine (1/2),,,,,,,,,,,,,
mission_Ice_9,아이스크림 기계를 설치해요 (2/2),Install the ice cream machine (2/2),安装冰淇淋机（2/2）,安裝冰淇淋機 (2/2),アイスクリームマシンの設置（2/2）,Installiere die Eismaschine (2/2),,,,,,,,,,,,,
mission_Ice_10,냉장고도 있어야 해요,We need a refrigerator too,我们也需要一台冰箱,冰箱也是必需品,冷蔵庫も必要だ,Wir brauchen auch eine Kühltruhe,,,,,,,,,,,,,
mission_Ice_11,아이스크림을 준비해요 (1/3),Prepare the ice cream (1/3),准备冰淇淋（1/3）,準備冰淇淋 (1/3),アイスクリームの準備（1/3）,Bereite das Eis vor (1/2),,,,,,,,,,,,,
mission_Ice_12,아이스크림을 준비해요 (2/3),Prepare the ice cream (2/3),准备冰淇淋（2/3）,準備冰淇淋 (2/3),アイスクリームの準備（2/3）,Bereite das Eis vor (2/3),,,,,,,,,,,,,
mission_Ice_13,아이스크림을 준비해요 (3/3),Prepare the ice cream (3/3),准备冰淇淋（3/3）,準備冰淇淋 (3/3),アイスクリームの準備（3/3）,Bereite das Eis vor (3/3),,,,,,,,,,,,,
mission_Ice_14,콘 아이스크림도 둘까요?,Shall we add cone ice cream too?,我们也加点甜筒冰淇淋好吗？,要放甜筒冰淇淋嗎？,コーンアイスクリームも追加しましょうか？,Sollen wir auch Eis in der Waffel hinzufügen,,,,,,,,,,,,,
mission_Ice_15,컵도 둘까요?,Shall we add cups too?,我们也要加杯子吗？,要放杯子嗎？,カップも追加しましょうか？,Fügen wir auch Becher hinzu?,,,,,,,,,,,,,
mission_Ice_16,손님 맞이를 준비해요,Prepare to welcome customers,准备迎接顾客,準備迎接客人,お客様を迎える準備,"Bereite dich vor, Kunden zu begrüßen",,,,,,,,,,,,,
mission_Ice_17,음식 모형을 배치해요,Place the food models,放置食物模型,擺放食物模型,食品モデルを配置する,Platziere die Speisemodelle,,,,,,,,,,,,,
mission_Ice_18,카운터를 설치해요(2/2),Install the counter (2/2),安装计数器（2/2）,安裝櫃檯（2/2）,カウンターの取り付け（2/2）,Installiere den Thresen (2/2),,,,,,,,,,,,,
mission_Ice_19,화분을 설치해요,Place the flowerpot,放置花盆,擺放盆栽,植木鉢を置く,Platziere den Blumentopf,,,,,,,,,,,,,
mission_Ice_20,미니 간판도 둘까요?,Shall we add a mini sign too?,我们也要添加一个小标志吗？,要放迷你招牌嗎？,ミニ看板も付けましょうか？,Sollen wir auch ein Minischild hinzufügen?,,,,,,,,,,,,,
mission_Ice_21,아이스크림 장식을 설치해요,Install the ice cream decorations,安装冰淇淋装饰物,裝飾冰淇淋佈置,アイスクリームのデコレーションを取り付ける,Platziere die Eiscreme Deko,,,,,,,,,,,,,
mission_Ice_22,메뉴판을 설치해요,Install the menu board,安装菜单板,安裝菜單板,メニューボードを設置する,Bringe die Menütafel an,,,,,,,,,,,,,
mission_Bakery_1,새 가게를 오픈 해요,Open a new store,开设新店,新店開幕囉,新しい店舗をオープンする,Eröffne einen neuen Laden,,,,,,,,,,,,,
mission_Bakery_2,창문을 달아봐요,Let's install a window,让我们安装一个窗口,裝上窗戶,窓を設置しましょう,Lass uns ein Fenster anbringen?,,,,,,,,,,,,,
mission_Bakery_3,큰 서랍을 놓아봐요,Let's place a large drawer,让我们放一个大抽屉,擺放大抽屜,大きな引き出しを置きましょう,Lass uns eine große Kommode aufbauen,,,,,,,,,,,,,
mission_Bakery_4,요리 준비대를 설치해요(1/2),Install the cooking station (1/2),安装烹饪台（1/2）,安裝料理準備台（1/2）,調理台の設置（1/2）,Installiere die Kochstation (1/2),,,,,,,,,,,,,
mission_Bakery_5,요리 준비대를 설치해요(2/2),Install the cooking station (2/2),安装烹饪台（2/2）,設置料理準備台(2/2),調理台の設置（2/2）,Installiere die Kochstation (2/2),,,,,,,,,,,,,
mission_Bakery_6,빵 선반도 필요해요,We need a bread shelf too,我们也需要一个面包架,麵包架也是必需品,パン棚も必要だ,Wir brauchen auch ein Brotregal,,,,,,,,,,,,,
mission_Bakery_7,신 메뉴를 개발해요,Let's create a new menu!,让我们创建一个新菜单！,開發新菜單,新しいメニューを作ってみましょう！,Kreieren wir ein neues Menü!,,,,,,,,,,,,,
mission_Bakery_8,저울은 필수겠죠,"A scale is a must, right?",必须要有秤，对吧？,秤具絕對不可或缺,体重計は必須ですよね？,"Eine Waage ist ein Muss, oder?",,,,,,,,,,,,,
mission_Bakery_9,빵 트레이를 둘게요,Place the bread trays,将面包托盘,擺放麵包托盤,パントレイを置く,Platziere die Brottabletts,,,,,,,,,,,,,
mission_Bakery_10,신 메뉴를 완성해요!,Complete the new menu!,完成新菜单！,新菜單完成！,新しいメニューを完成させましょう！,Stelle das neue Menü fertig!,,,,,,,,,,,,,
mission_Bakery_11,식빵을 배치해요,Place the sliced bread,将切片面包,擺放吐司麵包,スライスしたパンを置く,Platziere das geschnittene Brot,,,,,,,,,,,,,
mission_Bakery_12,다른 빵도 넣어볼까요?,Shall we add other bread too?,我们也要添加其他面包吗？,要放其他麵包嗎？,他のパンも追加しましょうか？,Sollen wir auch anderes Brot hinzufügen?,,,,,,,,,,,,,
mission_Bakery_13,메인 메뉴를 채워봐요(1/2),Fill out the main menu (1/2),填写主菜单（1/2）,填充主菜單(1/2),メインメニューを入力する（1/2）,Fülle das Hauptmenü aus (1/2),,,,,,,,,,,,,
mission_Bakery_14,메인 메뉴를 채워봐요(2/2),Fill out the main menu (2/2),填写主菜单 (2/2),填充主菜單(2/2),メインメニューを入力する（2/2）,Fülle das Hauptmenü aus (2/2),,,,,,,,,,,,,
mission_Bakery_15,더 많은 빵을 준비해요(1/3),Prepare more bread (1/3),准备更多面包（1/3）,準備更多麵包(1/3),パンをもっと用意する（1/3）,Bereite mehr Brot zu (1/3),,,,,,,,,,,,,
mission_Bakery_16,더 많은 빵을 준비해요(2/3),Prepare more bread (2/3),准备更多面包（2/3）,準備更多麵包(2/3),パンをもっと用意する（2/3）,Bereite mehr Brot zu (2/3),,,,,,,,,,,,,
mission_Bakery_17,더 많은 빵을 준비해요(3/3),Prepare more bread (3/3),准备更多面包（3/3）,準備更多麵包(3/3),パンをもっと用意する（3/3）,Bereite mehr Brot zu (3/3),,,,,,,,,,,,,
mission_Bakery_18,미니 간판을 놓아봐요,Let's place a mini sign,让我们放一个小标志,擺放迷你招牌,ミニ看板を設置しましょう,Bringen wir ein Minischild an,,,,,,,,,,,,,
mission_Bakery_19,화분선반을 준비해요,Prepare the flowerpot shelf,准备花盆架,準備花盆架,植木鉢の棚を準備する,Bringe das Blumentopfregal an,,,,,,,,,,,,,
mission_Bakery_20,화분도 놓아볼까요,Shall we place a flowerpot too?,我们也放一个花盆好吗？,也擺放些盆栽吧,植木鉢も置いてみましょうか？,Platzieren wir auch einen Blumentopf?,,,,,,,,,,,,,
mission_Bakery_21,간판을 설치해요(1/2),Install the sign (1/2),安装标志（1/2）,安裝招牌(1/2),看板を設置する（1/2）,Bringe das Schild an (1/2),,,,,,,,,,,,,
mission_Bakery_22,간판을 설치해요(2/2),Install the sign (2/2),安装标志（2/2）,安裝招牌(2/2),看板を設置する（2/2）,Bringe das Schild an (2/2),,,,,,,,,,,,,
mission_Pizza_1,새 가게를 오픈 해요,Open a new store,开设新店,新店開幕,新しい店舗をオープンする,Eröffne einen neuen Laden,,,,,,,,,,,,,
mission_Pizza_2,창문을 설치해요,Install the windows,安装窗户,安裝窗戶,窓を設置する,Installiere die Fenster,,,,,,,,,,,,,
mission_Pizza_3,피자 선반을 배치해요,Place the pizza shelf,放置披萨架,擺放披薩架,ピザ棚を設置する,Platziere das Pizzaregal,,,,,,,,,,,,,
mission_Pizza_4,화덕은 필수에요!,A pizza oven is essential!,披萨烤箱必不可少！,窯爐不可或缺！,ピザ窯は必需品です！,Ein Pizzaofen muss her!,,,,,,,,,,,,,
mission_Pizza_5,장작도 준비할까요,Shall we prepare firewood too?,我们也准备一下柴火吧？,要準備柴火嗎,薪も用意しましょうか？,Sollen wir auch Feuerholz vorbereiten?,,,,,,,,,,,,,
mission_Pizza_6,피자삽을 설치해요,Install the pizza peel,安装披萨铲,安裝披薩鏟,ピザピールを取り付ける,Platziere die Pizzaschaufel,,,,,,,,,,,,,
mission_Pizza_7,테이블을 배치해요,Place the tables,摆放桌子,擺放餐桌,テーブルを配置する,Platziere die Tische,,,,,,,,,,,,,
mission_Pizza_8,의자도 필요해요,We need chairs too,我们也需要椅子,椅子也需要,椅子も必要だ,Wir brauchen auch Stühle,,,,,,,,,,,,,
mission_Pizza_9,피자판을 배치해요,Place the pizza pans,把披萨盘放好,配置披薩烤盤,ピザパンを置く,Platziere die Pizzableche,,,,,,,,,,,,,
mission_Pizza_10,손님맞이를 준비해요(1/2),Prepare to welcome customers (1/2),准备迎接顾客（1/2）,準備迎接客人(1/2),お客様をお迎えする準備（1/2）,"Bereite dich vor, Kunden zu begrüßen (1/2)",,,,,,,,,,,,,
mission_Pizza_11,손님맞이를 준비해요(2/2),Prepare to welcome customers (2/2),准备迎接顾客（2/2）,準備迎接客人(2/2),お客様をお迎えする準備（2/2）,"Bereite dich vor, Kunden zu begrüßen (2/2)",,,,,,,,,,,,,
mission_Pizza_12,와인도 필요해요,We need wine too,我们也需要酒,葡萄酒也需要,ワインも必要だ,Wir brauchen auch Wein,,,,,,,,,,,,,
mission_Pizza_13,상자를 접어봐요(1/2),Let's fold the boxes (1/2),让我们折叠盒子（1/2）,試著摺疊紙箱(1/2),箱を折ってみよう（1/2）,Falten wir die Boxen (1/2),,,,,,,,,,,,,
mission_Pizza_14,상자를 접어봐요(2/2),Let's fold the boxes (2/2),让我们折叠盒子（2/2）,試著摺疊紙箱(1/2),箱を折ってみよう（2/2）,Falten wir die Boxen (2/2),,,,,,,,,,,,,
mission_Pizza_15,피자를 만들까요?,Shall we make pizza?,我们做披萨好吗？,開始製作披薩吧？,ピザを作りましょうか？,Sollen wir Pizza backen?,,,,,,,,,,,,,
mission_Pizza_16,피자를 준비해요,Prepare the pizza,准备披萨,準備披薩材料,ピザを準備する,Bereite die Pizza vor,,,,,,,,,,,,,
mission_Pizza_17,화분이 필요해요(1/2),We need a flowerpot (1/2),我们需要一个花盆（1/2）,需要花盆（1/2）,植木鉢が必要です（1/2）,Wir brauchen einen Blumentopf (1/2),,,,,,,,,,,,,
mission_Pizza_18,화분이 필요해요(2/2),We need a flowerpot (2/2),我们需要一个花盆（2/2）,需要花盆（2/2）,植木鉢が必要です（2/2）,Wir brauchen einen Blumentopf (2/2),,,,,,,,,,,,,
mission_Pizza_19,벽 장식도 배치해요,Place the wall decorations too,也放置墙壁装饰,牆面裝飾也擺放到位,壁飾りも設置,Bringe die Wanddeko an,,,,,,,,,,,,,
mission_Pizza_20,가게 로고도 필요하겠죠,"We'll need a shop logo too, right?",我们也需要一个商店标志，对吗？,店鋪標誌當然不可或缺,お店のロゴも必要ですよね？,"Wir brauchen auch ein Ladenschild, oder?",,,,,,,,,,,,,
mission_Pizza_21,간판을 달아봐요,Let's hang the sign,让我们挂上牌子,掛上招牌試試看,看板を掲げましょう,Bringen wir das Schild an,,,,,,,,,,,,,
mission_Bar_1,새 가게를 오픈해요,Open a new store,开设新店,新店鋪正式開幕,新しい店舗をオープンする,Eröffne einen neuen Laden,,,,,,,,,,,,,
mission_Bar_2,바 테이블을 설치해요,Install the bar table,安装吧台桌,安裝吧檯桌,バーテーブルを設置する,Installiere den Bartisch,,,,,,,,,,,,,
mission_Bar_3,의자도 둘까요?(1/2),Shall we add chairs too? (1/2),我们也要添加椅子吗？（1/2）,椅子也擺放嗎？（1/2）,椅子も追加しましょうか？（1/2）,Fügen wir auch Stühle hinzu? (1/2),,,,,,,,,,,,,
mission_Bar_4,의자도 둘까요?(2/2),Shall we add chairs too? (2/2),我们也要添加椅子吗？（2/2）,椅子也擺放嗎？（2/2）,椅子も追加しましょうか？（2/2）,Fügen wir auch Stühle hinzu? (2/2),,,,,,,,,,,,,
mission_Bar_5,맥주 기계도 필요해요,We need a beer machine too,我们也需要一台啤酒机,啤酒機也是必需品,ビールマシンも必要だ,Wir brauchen auch eine Biermaschine,,,,,,,,,,,,,
mission_Bar_6,기계 하나만 더 놓을까요?,Shall we add one more machine?,我们再添加一台机器好吗？,再加一台機器如何？,もう1台マシンを追加しましょうか?,Sollen wir noch eine Maschine hinzufügen?,,,,,,,,,,,,,
mission_Bar_7,큰 맥주잔이 필요해요,We need large beer mugs,我们需要大啤酒杯,需要大啤酒杯,大きなビールジョッキが必要です,Wir brauchen große Bierkrüge,,,,,,,,,,,,,
mission_Bar_8,작은 맥주잔도 준비해요,Prepare small beer mugs too,准备小啤酒杯,準備小啤酒杯,小さなビールジョッキも用意しましょう,Bereite auch kleine Biergläser vor,,,,,,,,,,,,,
mission_Bar_9,벽 선반을 설치해요(1/2),Install the wall shelf (1/2),安装墙架（1/2）,安裝壁架(1/2),壁掛け棚の取り付け（1/2）,Bringe das Wandregal an (1/2),,,,,,,,,,,,,
mission_Bar_10,벽 선반을 설치해요(2/2),Install the wall shelf (2/2),安装墙架（2/2）,安裝壁架(2/2),壁掛け棚の取り付け（2/2）,Bringe das Wandregal an (2/2),,,,,,,,,,,,,
mission_Bar_11,조명을 설치해요,Install the lights,安装灯,安裝照明設備,ライトを設置する,Installiere die Lichter,,,,,,,,,,,,,
mission_Bar_12,맥주를 준비할까요(1/2),Shall we prepare beer? (1/2),我们准备啤酒好吗？（1/2）,準備啤酒嗎(1/2),ビールを用意しましょうか？（1/2）,Bereiten wir Bier vor? (1/2),,,,,,,,,,,,,
mission_Bar_13,맥주를 준비할까요(2/2),Shall we prepare beer? (2/2),我们准备啤酒好吗？（2/2）,準備啤酒嗎(2/2),ビールを用意しましょうか？（2/2）,Bereiten wir Bier vor? (2/2),,,,,,,,,,,,,
mission_Bar_14,맥주통도 배치해요,Place the beer kegs too,把啤酒桶也放进去,擺放啤酒桶,ビール樽も置いて,Stellen wir auch die Bierfässer auf,,,,,,,,,,,,,
mission_Bar_15,맥주를 만들어볼까요?,Shall we try making beer?,我们尝试酿造啤酒好吗？,要試著釀造啤酒嗎？,ビールを作ってみませんか？,"Sollen wir versuchen, Bier zu brauen?",,,,,,,,,,,,,
mission_Bar_16,손님 맞이를 준비해요,Prepare to welcome customers,准备迎接顾客,準備迎接客人,お客様を迎える準備,"Bereite dich vor, Kunden zu begrüßen",,,,,,,,,,,,,
mission_Bar_17,간판을 달아요(1/2),Hang the sign (1/2),挂上标志（1/2）,懸掛招牌(1/2),看板を掛ける（1/2）,Hänge das Schild auf (1/2),,,,,,,,,,,,,
mission_Bar_18,간판을 달아요(2/2),Hang the sign (2/2),挂上标志（2/2）,懸掛招牌(2/2),看板を掛ける（2/2）,Hänge das Schild auf (2/2),,,,,,,,,,,,,
mission_Bar_19,벽 장식 하나 더 할까요?,Shall we add one more wall decoration?,我们要再添加一个墙面装饰吗？,再添置一組牆面裝飾？,壁飾りをもう一つ追加しましょうか？,Sollen wir noch eine Wanddekoration hinzufügen?,,,,,,,,,,,,,
mission_Bar_20,화분을 놓아봐요,Let's place a flowerpot shelf,我们放一个花盆架,擺放花盆試試看,植木鉢棚を設置しましょう,Platzieren wir ein Blumentopfregal,,,,,,,,,,,,,
mission_Bar_21,가게를 열어요,Open the shop,开店,開店營業,ショップを開く,Eröffne den Laden,,,,,,,,,,,,,
mission_Fruit_1,새 가게를 오픈 해요,Open a new store,开设新店,新店開幕,新しい店舗をオープンする,Eröffne einen neuen Laden,,,,,,,,,,,,,
mission_Fruit_2,잼 선반을 설치해요,Install the jam shelf,安装果酱架,安裝果醬架,ジャム棚を設置する,Installiere das Marmeladenregal,,,,,,,,,,,,,
mission_Fruit_3,과일 선반을 설치해요,Install the fruit shelf,安装水果架,安裝水果架,果物棚を設置する,Installiere das Obstregal,,,,,,,,,,,,,
mission_Fruit_4,카운터를 배치해요,Place the counter,放置计数器,配置櫃檯,カウンターを置く,Platziere den Thresen,,,,,,,,,,,,,
mission_Fruit_5,계산대를 놓아봐요,Let's place the cash register,让我们把收银机,擺放收銀台,レジを置きましょう,Platzieren wir die Kasse,,,,,,,,,,,,,
mission_Fruit_6,카운터를 꾸며봐요,Let's decorate the counter,让我们装饰一下柜台,裝飾櫃檯,カウンターを飾ろう,Dekorieren wir den Thresen,,,,,,,,,,,,,
mission_Fruit_7,야채 수레를 준비해요,Prepare the vegetable cart,准备蔬菜车,準備蔬菜推車,野菜カートを準備する,Bereite den Gemüsewagen vor,,,,,,,,,,,,,
mission_Fruit_8,과일 상자를 설치해요(1/3),Install the fruit boxes (1/3),安装果箱（1/3）,安裝水果箱(1/3),フルーツボックスの設置（1/3）,Baue die Obstkisten auf (1/3),,,,,,,,,,,,,
mission_Fruit_9,과일 상자를 설치해요(2/3),Install the fruit boxes (2/3),安装果箱（2/3）,設置水果箱(2/3),フルーツボックスの設置（2/3）,Baue die Obstkisten auf (2/3),,,,,,,,,,,,,
mission_Fruit_10,과일 상자를 설치해요(3/3),Install the fruit boxes (3/3),安装果箱（3/3）,設置水果箱(3/3),フルーツボックスの設置（3/3）,Baue die Obstkisten auf (3/3),,,,,,,,,,,,,
mission_Fruit_11,상자를 채워봐요(1/3),Let's fill the boxes (1/3),让我们填满盒子（1/3）,填裝箱子(1/3),箱を埋めてみよう（1/3）,Füllen wir die Boxen (1/3),,,,,,,,,,,,,
